模块,子模块,功能点,功能描述,API端点,HTTP方法,API状态,前端界面,优先级,备注
系统设置,菜单管理,新增菜单,创建新菜单,/api/menu,POST,已实现,待开发,P1,
系统设置,菜单管理,编辑菜单,更新菜单信息,/api/menu/{uid},PATCH,已实现,待开发,P1,
系统设置,菜单管理,删除菜单,删除菜单,/api/menu/{uid},DELETE,已实现,待开发,P2,
系统设置,日志管理,操作日志列表,获取操作日志列表,/api/log/page/{index},GET,已实现,待开发,P2,
系统设置,日志管理,日志详情,获取日志详情,/api/log/{uid},GET,已实现,待开发,P2,
系统设置,日志管理,日志全文搜索,日志全文搜索,/api/log/search,GET,已实现,待开发,P2,
系统设置,日志管理,归档日志查询,查询归档日志,/api/log/archive/{index},GET,已实现,已开发,P3,views/analysis/archiving/index.vue
系统设置,日志管理,归档配置,获取/更新日志归档配置,/api/log/archive-config,GET/POST,已实现,待开发,P3,
系统设置,字典管理,字典列表,获取字典列表,/api/dict/list,GET,已实现,待开发,P2,
系统设置,字典管理,字典分页列表,获取字典分页列表,/api/dict/page/{index},GET,已实现,待开发,P2,
系统设置,字典管理,新增字典,创建新字典项,/api/dict,POST,已实现,待开发,P2,
系统设置,字典管理,编辑字典,更新字典项,/api/dict/{id},PATCH,已实现,待开发,P2,
系统设置,字典管理,删除字典,删除字典项,/api/dict/{id},DELETE,已实现,待开发,P3,
系统设置,公司管理,公司列表,获取公司分页列表,/api/company/page/{index},GET,已实现,已开发,P1,views/system/companies/index.vue
系统设置,公司管理,公司详情,获取公司详情,/api/company/{uid},GET,已实现,已开发,P1,views/company/info/index.vue
系统设置,公司管理,编辑公司,更新公司信息,/api/company/{uid},PATCH,已实现,已开发,P1,views/company/info/form.vue
系统设置,公司管理,公司Logo,更新公司Logo,/api/company/logo/{uid},PATCH,已实现,待开发,P2,
系统设置,公司管理,切换公司,切换当前操作公司,/api/auth/current-company,POST,已实现,已开发,P1,
认证授权,登录注册,用户登录,用户登录,/api/auth/login,POST,已实现,已开发,P1,views/login/index.vue
认证授权,登录注册,用户注册,用户注册,/api/auth/register,POST,已实现,已开发,P1,views/login/components/register.vue
认证授权,登录注册,用户登出,用户登出,/api/auth/logout,DELETE,已实现,已开发,P1,
认证授权,登录注册,刷新Token,刷新访问令牌,/api/auth/refresh-token,POST,已实现,已开发,P1,
认证授权,登录注册,重置密码,重置密码,/api/auth/reset-password,PATCH,已实现,已开发,P1,views/login/components/update.vue
认证授权,登录注册,忘记密码,忘记密码,/api/auth/forget-password/{param},PATCH,已实现,已开发,P1,
认证授权,登录注册,微信登录,微信小程序登录,/api/auth/wx-login,POST,已实现,已开发,P2,views/login/components/qrCode.vue
认证授权,登录注册,微信绑定,绑定微信账号,/api/auth/wx-bind,POST,已实现,待开发,P2,
认证授权,用户信息,当前用户信息,获取当前用户信息,/api/auth/info,GET,已实现,已开发,P1,views/auth/profile.vue
认证授权,用户信息,更新用户信息,更新当前用户信息,/api/auth/info,PATCH,已实现,已开发,P1,
认证授权,用户信息,获取公司信息,获取公司信息,/api/auth/company-info/{type},GET,已实现,已开发,P1,
认证授权,用户信息,获取当前公司,获取当前操作公司,/api/auth/current-company,GET,已实现,已开发,P1,
认证授权,路由权限,获取异步路由,获取用户权限路由,/api/auth/async-routes,GET,已实现,已开发,P1,
认证授权,历史记录,登录历史,获取登录历史,/api/auth/login-history/page/{index},GET,已实现,已开发,P2,views/auth/history.vue
认证授权,历史记录,更新历史,获取更新历史,/api/auth/update-history/page/{index},GET,已实现,待开发,P3,
认证授权,消息通知,获取通知,获取消息通知,/api/auth/notice,GET,已实现,已开发,P2,
工具服务,验证码,获取验证码,获取图形验证码,/api/verify/captcha,GET,已实现,已开发,P1,
工具服务,验证码,发送验证码,发送邮箱/短信验证码,/api/verify/code,POST,已实现,已开发,P1,
工具服务,验证码,手机三要素核验,手机号三要素核验,/api/verify/phone-triple,POST,已实现,待开发,P2,
工具服务,文件上传,上传文件,上传文件到服务器,/api/static,POST,已实现,已开发,P1,views/company/asset/index.vue
工具服务,文件上传,获取OSS签名,获取OSS上传签名,/api/static/signature,GET,已实现,已开发,P2,
工具服务,文件上传,文件列表,获取已上传文件列表,/api/static/page/{index},GET,已实现,已开发,P2,
工具服务,导入导出,获取导入模板,获取导入模板定义,/api/tools/import/template/{type},GET,已实现,待开发,P1,
工具服务,导入导出,下载导入模板,下载导入模板Excel文件,/api/tools/import/template/{type}/download,GET,已实现,待开发,P1,
工具服务,导入导出,批量导入,批量导入数据含校验,/api/tools/import/{type},POST,已实现,待开发,P1,
工具服务,导入导出,批量导出,批量导出数据(同步),/api/tools/export/{type},GET,已实现,待开发,P1,
工具服务,导入导出,异步导出,创建异步导出任务,/api/tools/export/async/{type},POST,已实现,待开发,P2,
工具服务,导入导出,导出任务状态,查询导出任务状态,/api/tools/export/task/{taskId},GET,已实现,待开发,P2,
工具服务,导入导出,下载导出文件,下载导出文件,/api/tools/export/download/{taskId},GET,已实现,待开发,P2,
工具服务,条码服务,生成条码,生成条码图片,/api/tools/barcode,GET,已实现,待开发,P2,
工具服务,条码服务,扫码查询,扫码查询商品,/api/tools/barcode/scan/{code},GET,已实现,待开发,P1,
工具服务,打印服务,打印模板,系统提供打印模板,待开发,待开发,待开发,待开发,P2,前端实现
单据审核,订单审核,获取审核人,获取订单审核人列表,/api/audit/auditor/{type},GET,已实现,待开发,P1,
单据审核,订单审核,审核订单,审核订单,/api/audit/{uid},PATCH,已实现,已开发,P1,集成在订单页面
单据审核,订单作废,作废退货订单,作废已审核退货订单,/api/return-order/reverse/{uid},POST,已实现,已开发,P2,API已封装
